,date,value,index_name,index_description,unit,phase,phase_description,event,event_description
0,1950-01-01,-1.53,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
75,1950-02-01,-1.34,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
150,1950-03-01,-1.16,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
225,1950-04-01,-1.18,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
300,1950-05-01,-1.07,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
375,1950-06-01,-0.85,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
450,1950-07-01,-0.54,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos
525,1950-08-01,-0.42,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
600,1950-09-01,-0.39,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
675,1950-10-01,-0.44,ONI,"Índice El Niño Oceánico: Media móvil de tres meses de las anomalías de la TSM NOAA ERSST.V5 en la región Niño 3.4 (5N-5S, 120-170W), basada en un periodo base cambiante que consta de múltiples periodos base centrados de 30 años. Estos periodos base de 30 años se utilizarán para calcular las anomalías para periodos sucesivos de 5 años en el registro histórico. ",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutra,Condiciones neutras
