id,value,id_phase,id_index,id_date
1,-1.5,1,1,1
2,-1.5,3,1,1
3,-1.3,1,1,2
4,-1.3,3,1,2
5,-1.2,1,1,3
6,-1.2,3,1,3
7,-1.2,1,1,4
8,-1.2,3,1,4
9,-1.1,1,1,5
10,-1.1,3,1,5
11,-0.8,1,1,6
12,-0.8,3,1,6
13,-0.5,1,1,7
14,-0.5,3,1,7
15,-0.4,2,1,8
16,-0.4,2,1,9
17,-0.4,2,1,10
18,-0.6,1,1,11
19,-0.6,3,1,11
20,-0.8,1,1,12
21,-0.8,3,1,12
22,-0.8,1,1,13
23,-0.8,3,1,13
24,-0.5,1,1,14
25,-0.5,3,1,14
26,-0.2,2,1,15
27,0.2,2,1,16
28,0.4,2,1,17
29,0.6,4,1,18
30,0.6,5,1,18
31,0.7,4,1,19
32,0.7,5,1,19
33,0.9,4,1,20
34,0.9,5,1,20
35,1.0,4,1,21
36,1.0,5,1,21
37,1.2,4,1,22
38,1.2,5,1,22
39,1.0,4,1,23
40,1.0,5,1,23
41,0.8,4,1,24
42,0.8,5,1,24
43,0.5,4,1,25
44,0.5,5,1,25
45,0.4,2,1,26
46,0.3,2,1,27
47,0.3,2,1,28
48,0.2,2,1,29
49,0.0,2,1,30
50,-0.1,2,1,31
51,0.0,2,1,32
52,0.2,2,1,33
53,0.1,2,1,34
54,0.0,2,1,35
55,0.2,2,1,36
56,0.4,2,1,37
57,0.6,4,1,38
58,0.6,5,1,38
59,0.6,4,1,39
60,0.6,5,1,39
61,0.7,4,1,40
62,0.7,5,1,40
63,0.8,4,1,41
64,0.8,5,1,41
65,0.8,4,1,42
66,0.8,5,1,42
67,0.8,4,1,43
68,0.8,5,1,43
69,0.7,4,1,44
70,0.7,5,1,44
71,0.8,4,1,45
72,0.8,5,1,45
73,0.8,4,1,46
74,0.8,5,1,46
75,0.8,4,1,47
76,0.8,5,1,47
77,0.8,4,1,48
78,0.8,5,1,48
79,0.8,4,1,49
80,0.8,5,1,49
81,0.5,4,1,50
82,0.5,5,1,50
83,-0.0,2,1,51
84,-0.4,2,1,52
85,-0.5,1,1,53
86,-0.5,3,1,53
87,-0.5,1,1,54
88,-0.5,3,1,54
89,-0.6,1,1,55
90,-0.6,3,1,55
91,-0.8,1,1,56
92,-0.8,3,1,56
93,-0.9,1,1,57
94,-0.9,3,1,57
95,-0.8,1,1,58
96,-0.8,3,1,58
97,-0.7,1,1,59
98,-0.7,3,1,59
99,-0.7,1,1,60
100,-0.7,3,1,60
101,-0.7,1,1,61
102,-0.7,3,1,61
103,-0.6,1,1,62
104,-0.6,3,1,62
105,-0.7,1,1,63
106,-0.7,3,1,63
107,-0.8,1,1,64
108,-0.8,3,1,64
109,-0.8,1,1,65
110,-0.8,3,1,65
111,-0.7,1,1,66
112,-0.7,3,1,66
113,-0.7,1,1,67
114,-0.7,3,1,67
115,-0.8,1,1,68
116,-0.8,3,1,68
117,-1.1,1,1,69
118,-1.1,3,1,69
119,-1.4,1,1,70
120,-1.4,3,1,70
121,-1.7,1,1,71
122,-1.7,3,1,71
123,-1.5,1,1,72
124,-1.5,3,1,72
125,-1.1,1,1,73
126,-1.1,3,1,73
127,-0.8,1,1,74
128,-0.8,3,1,74
129,-0.6,1,1,75
130,-0.6,3,1,75
131,-0.5,1,1,76
132,-0.5,3,1,76
