year,01,02,03,04,05,06,07,08,09,10,11,12
1950,-1.47,-1.27,-1.11,-1.09,-1.0,-0.71,-0.41,-0.24,-0.22,-0.29,-0.41,-0.56
1951,-0.5,-0.17,0.25,0.6,0.64,0.69,0.68,0.81,0.87,0.98,0.91,0.8
1952,0.58,0.44,0.42,0.44,0.31,0.07,-0.04,0.03,0.13,0.01,-0.01,0.2
1953,0.53,0.76,0.77,0.83,0.84,0.79,0.67,0.66,0.7,0.77,0.81,0.93
1954,0.99,0.73,0.14,-0.2,-0.34,-0.26,-0.49,-0.74,-0.85,-0.7,-0.56,-0.41
1955,-0.38,-0.32,-0.35,-0.39,-0.37,-0.36,-0.44,-0.61,-1.02,-1.43,-1.63,-1.27
1956,-0.75,-0.32,-0.2,-0.06,-0.05,-0.08,-0.28,-0.32,-0.31,-0.33,-0.37,-0.25
1957,0.04,0.41,0.73,0.97,1.1,1.18,1.23,1.26,1.23,1.31,1.52,1.87
1958,2.02,1.88,1.4,1.07,0.83,0.68,0.49,0.26,0.18,0.25,0.39,0.68
1959,0.77,0.84,0.66,0.44,0.25,-0.06,-0.23,-0.4,-0.29,-0.26,-0.11,-0.02
1960,0.03,0.04,0.0,0.08,0.06,0.04,0.11,0.17,0.17,0.07,0.01,0.02
1961,0.05,0.06,0.03,0.1,0.26,0.34,0.2,-0.09,-0.32,-0.31,-0.24,-0.12
1962,-0.13,-0.09,-0.11,-0.22,-0.26,-0.21,-0.11,-0.18,-0.25,-0.4,-0.46,-0.5
1963,-0.38,-0.1,0.17,0.24,0.23,0.41,0.73,0.99,1.04,1.1,1.22,1.25
1964,1.13,0.68,0.1,-0.37,-0.63,-0.59,-0.59,-0.62,-0.72,-0.76,-0.7,-0.51
1965,-0.25,0.07,0.15,0.37,0.62,1.03,1.38,1.67,1.94,2.03,2.04,1.9
1966,1.65,1.52,1.26,0.87,0.46,0.29,0.27,0.13,-0.02,-0.07,-0.12,-0.17
1967,-0.17,-0.2,-0.39,-0.4,-0.19,0.18,0.3,0.1,-0.02,-0.08,0.01,-0.02
1968,-0.21,-0.33,-0.31,-0.19,0.16,0.45,0.69,0.58,0.45,0.55,0.77,1.06
1969,1.24,1.13,0.85,0.54,0.35,0.23,0.23,0.43,0.72,0.78,0.74,0.57
1970,0.51,0.31,0.25,0.11,0.01,-0.29,-0.58,-0.69,-0.69,-0.63,-0.7,-0.91
1971,-1.03,-1.02,-0.83,-0.6,-0.48,-0.41,-0.44,-0.44,-0.47,-0.48,-0.52,-0.47
1972,-0.31,0.02,0.41,0.77,0.94,1.12,1.27,1.49,1.7,1.96,2.21,2.27
