date,value,index_name,index_description,unit,phase,phase_description,event,event_description,type
1950-01-01,-1.5,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Fuerte
1950-02-01,-1.3,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Moderado
1950-03-01,-1.2,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Moderado
1950-04-01,-1.2,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Moderado
1950-05-01,-1.1,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Moderado
1950-06-01,-0.8,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Débil
1950-07-01,-0.5,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Niña,Este evento se caracteriza porque la fase fría persiste durante al menos 5 meses consecutivos,Débil
1950-08-01,-0.4,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1950-09-01,-0.4,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1950-10-01,-0.4,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Neutra,Esta fase se caracteriza porque las anomalías de TSM son inferiores a 0.5 °C y superiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1950-11-01,-0.6,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1950-12-01,-0.8,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1951-01-01,-0.8,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
1951-02-01,-0.5,ONI,"Índice Niño Oceánico: Media móvil de 3 meses de las anomalías de la TSM ERSST.v5 en la región Niño 3.4 (5°N-5°S, 120°-170°W) Calculada a partir del ERSST V5 (en NOAA/CPC).",°C,Fría,Esta fase se caracteriza porque las anomalías de TSM en la región 3.4 son inferiores a -0.5 °C,Neutro,Condiciones neutras,Neutro
